Na,Ca,K,Mg,n,n_level,Cu_slope,Cu_intercept,Cu_r2,Ni_slope,Ni_intercept,Ni_r2,Zn_slope,Zn_intercept,Zn_r2
0.0,0.0,0.0,0.0,72,6,0.105,0.436,0.987,0.0922,-0.0478,0.976,0.498,0.159,0.982
0.0,0.0,0.0,125.0,12,6,0.0962,0.405,0.998,0.0758,-0.0395,0.992,0.42,0.211,0.997
0.0,0.0,0.0,250.0,12,6,0.0944,0.389,0.998,0.0699,-0.0419,0.981,0.414,0.184,0.997
0.0,0.0,0.0,375.0,12,6,0.111,0.374,0.984,0.0807,-0.0569,0.946,0.484,0.109,0.979
0.0,0.0,0.0,500.0,12,6,0.109,0.385,0.987,0.0745,-0.0513,0.977,0.458,0.169,0.986
0.0,0.0,125.0,0.0,12,6,0.1,0.402,0.999,0.0776,-0.0412,0.987,0.451,0.157,0.998
0.0,0.0,250.0,0.0,12,6,0.095,0.397,0.999,0.0724,-0.0414,0.989,0.471,0.175,0.999
0.0,0.0,375.0,0.0,12,6,0.0915,0.401,0.998,0.0696,-0.0377,0.989,0.507,0.204,0.997
0.0,0.0,500.0,0.0,12,6,0.0895,0.396,0.999,0.0661,-0.0404,0.986,0.533,0.217,0.999
0.0,125.0,0.0,0.0,12,6,0.092,0.448,0.998,0.0785,-0.0397,0.991,0.425,0.156,0.998
0.0,250.0,0.0,0.0,12,6,0.0912,0.438,0.997,0.0733,-0.0365,0.992,0.436,0.14,0.996
0.0,375.0,0.0,0.0,12,6,0.0823,0.441,0.996,0.061,-0.0405,0.989,0.401,0.173,0.997
0.0,500.0,0.0,0.0,12,6,0.0839,0.433,0.998,0.0583,-0.0367,0.99,0.408,0.159,0.998
125.0,0.0,0.0,0.0,12,6,0.0883,0.451,0.999,0.0717,-0.041,0.978,0.377,0.181,0.998
125.0,125.0,0.0,0.0,12,6,0.0764,0.454,0.999,0.0588,-0.0352,0.986,0.381,0.181,0.996
125.0,375.0,0.0,0.0,12,6,0.081,0.428,0.997,0.0576,-0.0356,0.982,0.438,0.164,0.996
250.0,0.0,0.0,0.0,12,6,0.0838,0.449,0.998,0.0642,-0.0414,0.99,0.407,0.198,0.998
250.0,250.0,0.0,0.0,12,6,0.0709,0.464,0.996,0.0553,-0.043,0.988,0.444,0.173,0.996
250.0,250.0,250.0,0.0,12,6,0.0704,0.464,0.992,0.0486,-0.0279,0.996,0.551,0.205,0.998
250.0,250.0,250.0,250.0,12,6,0.0627,0.46,0.996,0.0492,-0.0393,0.996,0.382,0.129,0.996
250.0,250.0,250.0,500.0,12,6,0.0612,0.456,0.996,0.046,-0.0426,0.994,0.295,0.162,0.995
250.0,250.0,500.0,0.0,12,6,0.0686,0.462,0.993,0.047,-0.0332,0.991,0.652,0.183,0.999
250.0,500.0,0.0,0.0,12,6,0.0772,0.426,0.999,0.0548,-0.041,0.981,0.427,0.18,0.997
375.0,0.0,0.0,0.0,12,6,0.0862,0.405,0.996,0.0594,-0.0344,0.99,0.481,0.231,0.996
375.0,125.0,0.0,0.0,12,6,0.0743,0.436,0.995,0.0522,-0.0402,0.992,0.517,0.159,0.998
375.0,375.0,0.0,0.0,12,6,0.0702,0.457,0.995,0.048,-0.0373,0.994,0.464,0.169,0.997
500.0,0.0,0.0,0.0,12,6,0.0868,0.397,0.998,0.0596,-0.0404,0.99,0.529,0.239,0.997
500.0,250.0,0.0,0.0,12,6,0.0747,0.436,0.998,0.0476,-0.0382,0.977,0.567,0.167,0.998
500.0,500.0,0.0,0.0,12,6,0.0693,0.459,0.997,0.0485,-0.0387,0.995,0.479,0.184,0.997
500.0,500.0,250.0,0.0,12,6,0.0645,0.461,0.994,0.0491,-0.0468,0.995,0.545,0.166,0.997
500.0,500.0,500.0,0.0,12,6,0.0631,0.46,0.997,0.0423,-0.0387,0.991,0.594,0.145,0.996
500.0,500.0,500.0,250.0,12,6,0.062,0.458,0.996,0.0419,-0.0409,0.993,0.426,0.168,0.997
500.0,500.0,500.0,500.0,12,6,0.0643,0.456,0.997,0.0461,-0.0505,0.992,0.346,0.139,0.992
