slope,intercept,R2,STD,LOD,n,Na,Ca,K,Mg,metal,load
0.105,0.436,0.986,0.024,0.685,108,0.0,0.0,0.0,0.0,Cu,0.0
0.0926,-0.047,0.974,0.00404,0.131,108,0.0,0.0,0.0,0.0,Ni,0.0
0.5,0.156,0.983,0.0271,0.163,108,0.0,0.0,0.0,0.0,Zn,0.0
0.0968,0.404,0.998,0.00121,0.0375,18,0.0,0.0,0.0,125.0,Cu,125.0
0.0765,-0.0407,0.993,0.00612,0.24,18,0.0,0.0,0.0,125.0,Ni,125.0
0.43,0.196,0.996,0.00691,0.0482,18,0.0,0.0,0.0,125.0,Zn,125.0
0.095,0.388,0.998,0.00162,0.0512,18,0.0,0.0,0.0,250.0,Cu,250.0
0.07,-0.0395,0.983,0.00497,0.213,18,0.0,0.0,0.0,250.0,Ni,250.0
0.415,0.182,0.997,0.00145,0.0104,18,0.0,0.0,0.0,250.0,Zn,250.0
0.111,0.375,0.984,0.0061,0.165,18,0.0,0.0,0.0,375.0,Cu,375.0
0.0797,-0.0569,0.948,0.000712,0.0268,18,0.0,0.0,0.0,375.0,Ni,375.0
0.485,0.109,0.98,0.00543,0.0336,18,0.0,0.0,0.0,375.0,Zn,375.0
0.109,0.384,0.987,0.00412,0.114,18,0.0,0.0,0.0,500.0,Cu,500.0
0.0747,-0.0513,0.974,0.00755,0.303,18,0.0,0.0,0.0,500.0,Ni,500.0
0.458,0.164,0.983,0.00515,0.0337,18,0.0,0.0,0.0,500.0,Zn,500.0
0.0997,0.403,0.999,0.00353,0.106,18,0.0,0.0,125.0,0.0,Cu,125.0
0.0787,-0.0424,0.987,0.00378,0.144,18,0.0,0.0,125.0,0.0,Ni,125.0
0.448,0.17,0.998,0.00295,0.0197,18,0.0,0.0,125.0,0.0,Zn,125.0
0.0951,0.398,0.999,0.00172,0.0542,18,0.0,0.0,250.0,0.0,Cu,250.0
0.0735,-0.0428,0.988,0.00371,0.152,18,0.0,0.0,250.0,0.0,Ni,250.0
0.475,0.173,0.998,0.0166,0.105,18,0.0,0.0,250.0,0.0,Zn,250.0
0.0917,0.402,0.998,0.0041,0.134,18,0.0,0.0,375.0,0.0,Cu,375.0
0.07,-0.0397,0.99,0.00823,0.353,18,0.0,0.0,375.0,0.0,Ni,375.0
0.506,0.201,0.998,0.0129,0.0767,18,0.0,0.0,375.0,0.0,Zn,375.0
0.0895,0.396,0.999,0.00221,0.074,18,0.0,0.0,500.0,0.0,Cu,500.0
0.0663,-0.0431,0.986,0.00564,0.255,18,0.0,0.0,500.0,0.0,Ni,500.0
0.536,0.209,0.999,0.00656,0.0367,18,0.0,0.0,500.0,0.0,Zn,500.0
0.0935,0.446,0.998,0.00355,0.114,18,0.0,125.0,0.0,0.0,Cu,125.0
0.0797,-0.0419,0.988,0.00627,0.236,18,0.0,125.0,0.0,0.0,Ni,125.0
0.427,0.146,0.997,0.00484,0.034,18,0.0,125.0,0.0,0.0,Zn,125.0
0.0926,0.436,0.997,0.00294,0.0952,18,0.0,250.0,0.0,0.0,Cu,250.0
0.0739,-0.0373,0.992,0.00324,0.132,18,0.0,250.0,0.0,0.0,Ni,250.0
0.44,0.141,0.997,0.0102,0.0698,18,0.0,250.0,0.0,0.0,Zn,250.0
0.0832,0.439,0.997,0.00328,0.118,18,0.0,375.0,0.0,0.0,Cu,375.0
0.0615,-0.0396,0.989,0.00158,0.0771,18,0.0,375.0,0.0,0.0,Ni,375.0
0.405,0.169,0.997,0.00554,0.0411,18,0.0,375.0,0.0,0.0,Zn,375.0
0.0839,0.433,0.999,0.00436,0.156,18,0.0,500.0,0.0,0.0,Cu,500.0
0.0598,-0.0401,0.99,0.00571,0.287,18,0.0,500.0,0.0,0.0,Ni,500.0
0.403,0.162,0.997,0.00803,0.0597,18,0.0,500.0,0.0,0.0,Zn,500.0
0.0886,0.449,0.999,0.00201,0.0681,18,125.0,0.0,0.0,0.0,Cu,125.0
0.0716,-0.0403,0.982,0.0058,0.243,18,125.0,0.0,0.0,0.0,Ni,125.0
0.379,0.175,0.998,0.0184,0.146,18,125.0,0.0,0.0,0.0,Zn,125.0
0.0772,0.453,0.997,0.0051,0.198,18,125.0,125.0,0.0,0.0,Cu,250.0
0.0585,-0.0334,0.986,0.00333,0.171,18,125.0,125.0,0.0,0.0,Ni,250.0
0.383,0.183,0.996,0.00575,0.0449,18,125.0,125.0,0.0,0.0,Zn,250.0
0.0811,0.426,0.997,0.00439,0.162,18,125.0,375.0,0.0,0.0,Cu,500.0
0.0575,-0.0348,0.984,0.00386,0.202,18,125.0,375.0,0.0,0.0,Ni,500.0
0.437,0.169,0.997,0.00623,0.0428,18,125.0,375.0,0.0,0.0,Zn,500.0
0.0839,0.448,0.998,0.00492,0.176,18,250.0,0.0,0.0,0.0,Cu,250.0
0.0645,-0.0423,0.987,0.00557,0.259,18,250.0,0.0,0.0,0.0,Ni,250.0
0.409,0.201,0.998,0.0225,0.165,18,250.0,0.0,0.0,0.0,Zn,250.0
0.0712,0.463,0.996,0.00221,0.0931,18,250.0,250.0,0.0,0.0,Cu,500.0
0.0549,-0.0418,0.981,0.00753,0.412,18,250.0,250.0,0.0,0.0,Ni,500.0
0.444,0.171,0.997,0.00649,0.0438,18,250.0,250.0,0.0,0.0,Zn,500.0
0.0712,0.463,0.993,0.00207,0.0871,18,250.0,250.0,250.0,0.0,Cu,750.0
0.049,-0.0285,0.995,0.00346,0.212,18,250.0,250.0,250.0,0.0,Ni,750.0
