Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.265,0.265,0.0616,0.0616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.116,0.116,0.0404,0.0404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00867,-0.00867,0.234,0.234,0.0583,0.0583
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.099,0.38,0.38,0.108,0.108
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0904,0.0904,0.246,0.246,0.0589,0.0589
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549,0.0549,0.248,0.248,0.0178,0.0178
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.136,0.257,0.257,0.168,0.168
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0986,0.0986,0.124,0.124,0.0871,0.0871
250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237,0.0237,0.244,0.244,0.0628,0.0628
375.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.311,-0.311,0.207,0.207,0.207,0.207
375.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.4,0.304,0.304,0.132,0.132
375.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.465,-0.465,0.265,0.265,0.103,0.103
500.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,-0.39,0.241,0.241,0.192,0.192
500.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.407,-0.407,0.137,0.137,0.118,0.118
500.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.426,-0.426,0.286,0.286,0.0865,0.0865
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.11,0.114,0.912,-0.0881,0.823,-0.177
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.13,0.135,1.02,0.0171,0.872,-0.128
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.25,0.248,0.969,-0.0308,0.948,-0.0517
125.0,0.0,0.0,0.0,1.0,1.0,1.0,1.06,0.0624,0.816,-0.184,0.721,-0.279
125.0,0.0,0.0,0.0,1.0,1.0,1.0,1.03,0.0268,0.695,-0.305,0.788,-0.212
125.0,0.0,0.0,0.0,1.0,1.0,1.0,0.967,-0.0331,0.724,-0.276,0.725,-0.275
250.0,0.0,0.0,0.0,1.0,1.0,1.0,0.928,-0.0724,0.777,-0.223,0.847,-0.153
250.0,0.0,0.0,0.0,1.0,1.0,1.0,0.891,-0.109,0.712,-0.288,0.835,-0.165
250.0,0.0,0.0,0.0,1.0,1.0,1.0,0.865,-0.135,0.743,-0.257,0.886,-0.114
375.0,0.0,0.0,0.0,1.0,1.0,1.0,0.51,-0.49,0.771,-0.229,0.956,-0.0439
375.0,0.0,0.0,0.0,1.0,1.0,1.0,0.501,-0.499,0.734,-0.266,1.1,0.0983
375.0,0.0,0.0,0.0,1.0,1.0,1.0,0.504,-0.496,0.778,-0.222,0.998,-0.00239
500.0,0.0,0.0,0.0,1.0,1.0,1.0,0.433,-0.567,0.667,-0.333,1.14,0.139
500.0,0.0,0.0,0.0,1.0,1.0,1.0,0.49,-0.51,0.729,-0.271,1.13,0.132
500.0,0.0,0.0,0.0,1.0,1.0,1.0,0.512,-0.488,0.819,-0.181,1.13,0.127
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.25,0.246,1.77,-0.232,1.93,-0.0692
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.21,0.205,1.91,-0.094,2.0,-0.00072
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.12,0.123,1.9,-0.0979,1.93,-0.0652
125.0,0.0,0.0,0.0,2.0,2.0,2.0,1.78,-0.223,1.33,-0.665,1.55,-0.448
125.0,0.0,0.0,0.0,2.0,2.0,2.0,1.83,-0.167,1.56,-0.435,1.58,-0.423
125.0,0.0,0.0,0.0,2.0,2.0,2.0,1.82,-0.177,1.51,-0.491,1.55,-0.446
250.0,0.0,0.0,0.0,2.0,2.0,2.0,1.74,-0.256,1.35,-0.651,1.78,-0.223
250.0,0.0,0.0,0.0,2.0,2.0,2.0,1.69,-0.31,1.18,-0.816,1.68,-0.316
250.0,0.0,0.0,0.0,2.0,2.0,2.0,1.77,-0.235,1.2,-0.797,1.8,-0.202
375.0,0.0,0.0,0.0,2.0,2.0,2.0,1.44,-0.564,1.33,-0.669,2.05,0.0542
375.0,0.0,0.0,0.0,2.0,2.0,2.0,1.42,-0.583,1.35,-0.647,2.12,0.116
375.0,0.0,0.0,0.0,2.0,2.0,2.0,1.37,-0.634,1.23,-0.775,2.14,0.144
500.0,0.0,0.0,0.0,2.0,2.0,2.0,1.38,-0.619,1.33,-0.671,2.42,0.418
500.0,0.0,0.0,0.0,2.0,2.0,2.0,1.28,-0.722,1.22,-0.784,2.26,0.263
500.0,0.0,0.0,0.0,2.0,2.0,2.0,1.3,-0.699,1.21,-0.792,2.3,0.302
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.23,0.226,2.8,-0.196,3.13,0.127
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.14,0.142,2.93,-0.0678,2.82,-0.175
0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.33,0.33,3.24,0.241,3.1,0.101
